name,generation,price,city,departament
Boxer Ct 125 ,2024,6850000.0,Cali , Valle Del Cauca
Dominar D 400 Touring Accesorizada ,2024,18149000.0,Teusaquillo , Bogotá D.C.
Bajaj Pulsar N160,2024,10799000.0,Cali , Valle Del Cauca
Victory Black 171 2024,2024,12790000.0,Pereira , Risaralda
 Bajaj Platino 125,2024,6699000.0,Bello , Antioquia
Bajaj Torito 2023 La Dorada,2023,16690000.0,La Dorada , Caldas
Bajaj Boxer Ct 125  2024 La Dorada,2023,6850000.0,La Dorada , Caldas
Bajaj Pulsar N250 Fi Abs 2024  La Dorada,2023,14350000.0,La Dorada , Caldas
Bajaj Pulsar N250 Fi Abs 2024 Pereira,2023,14350000.0,Pereira , Risaralda
Can-am Maverick X3 Mr Turbo Rr,2023,214990000.0,Medellín , Antioquia
Suzuki Gixxer Fi 150 Modelo 2023 ,2023,10097000.0,Barrios Unidos , Bogotá D.C.
Pulsar N250 ,2024,13999000.0,Engativa , Bogotá D.C.
Honda Xr190l 2024 Bucaramanga ,2023,14315000.0,Bucaramanga , Santander
Honda Xr190l 2024 Huila,2023,14315000.0,Neiva , Huila
Honda Xr190l 2024 Tolima ,2023,14315000.0,Ibagué , Tolima
Honda Xr190l 2024 Popayán ,2023,14315000.0,Popayán , Cauca
Honda Xr190l 2024 Cedritos,2023,14315000.0,Usaquén , Bogotá D.C.
Honda Xr190l 2024 Venecia,2023,14315000.0,Tunjuelito , Bogotá D.C.
Boxer 150 X,2023,6899000.0,Cali , Valle Del Cauca
Magnifica Pulsar 180 ,2023,9274000.0,Antonio Nariño , Bogotá D.C.
Boxer Ct 125,2024,6850000.0,Cali , Valle Del Cauca
Discover St 125 A Credito Bogota ,2024,7674000.0,Antonio Nariño , Bogotá D.C.
Pulsar Rs 200 Fi Abs A Credito Bogota ,2024,13999000.0,Antonio Nariño , Bogotá D.C.
Pulsar 200 Fi 2023,2023,11324000.0,Antonio Nariño , Bogotá D.C.
Pulsar Rs 200 Fi Abs,2023,13774000.0,Antonio Nariño , Bogotá D.C.
Pulsar Ns 200 Fi Abs ,2023,12974000.0,Teusaquillo , Bogotá D.C.
Pulsar N 160 Fi Abs Dual ,2024,10799000.0,Teusaquillo , Bogotá D.C.
Pulsar Ns 200 Fi ,2024,11899000.0,Teusaquillo , Bogotá D.C.
Pulsar Ns 160 Fi Abs Modelo 2023 Pulsarmania ,2023,10324000.0,Teusaquillo , Bogotá D.C.
Dominar 250,2023,14299000.0,Engativa , Bogotá D.C.
Platino 125,2023,6399000.0,Engativa , Bogotá D.C.
Boxer 150 X,2023,6599000.0,Cali , Valle Del Cauca
Boxer Ct 100 Es Moto Financiada Cali,2023,5999000.0,Cali , Valle Del Cauca
Boxer Ct100 Es ,2023,5999000.0,Engativa , Bogotá D.C.
Dominar 400 Touring ,2023,17724000.0,Teusaquillo , Bogotá D.C.
Dominar 400 Ug2 Cali,2024,17999000.0,Cali , Valle Del Cauca
Tvs Apache 180 2023,2023,8999999.0,Barrios Unidos , Bogotá D.C.
Moto Cross 60cc 2 Tiempos Para Niños A Gasolina,2021,2200000.0,Medellín , Antioquia
Bajaj Pulsar Ns 160 Fi,2024,9999000.0,Cali , Valle Del Cauca
La Nueva Pulsar N 160 2024,2024,10999000.0,Puente Aranda , Bogotá D.C.
Honda Xre190 Abs,2024,17820000.0,Usaquén , Bogotá D.C.
Victory Advance R 125 2024 Tk,2024,6599000.0,Pereira , Risaralda
Victory Mrx 125 2023,2023,8139000.0,Pereira , Risaralda
Bajaj Boxer Ct 100ks ,2024,5999000.0,Bello , Antioquia
Bajaj Dominar 250 2024 Manizales,2023,14999000.0,Manizales , Caldas
Bajaj Discover 125 St-r 2024 La Dorada,2023,7674000.0,La Dorada , Caldas
"Honda , Pcx 160 Abs , Modelo 2024",2024,17550000.0,Barrios Unidos , Bogotá D.C.
Suzuki Gn 125f,2023,6628000.0,Barrios Unidos , Bogotá D.C.
Boxer Ct 100 Alloy,2024,6449000.0,Antonio Nariño , Bogotá D.C.
Pulsar N250 ,2024,14350000.0,Cali , Valle Del Cauca
Boxer Ct100 Alloy,2023,6199000.0,Antonio Nariño , Bogotá D.C.
Honda Navi 2024 Venecia,2023,7240000.0,Tunjuelito , Bogotá D.C.
Honda Navi 2024 Huila,2023,7240000.0,Neiva , Huila
Honda Navi 2024 Tolima,2023,7240000.0,Ibagué , Tolima
Honda Navi 2024 Popayan,2023,7240000.0,Popayán , Cauca
Honda Navi 2024 Cedritos,2023,7240000.0,Usaquén , Bogotá D.C.
Honda Navi 2024 Bucaramanga,2023,7240000.0,Bucaramanga , Santander
Boxer Ct 100 Titanium,2023,6199000.0,Puente Aranda , Bogotá D.C.
Triumph Tiger 900 Rally Pro,2023,108990000.0,Usaquén , Bogotá D.C.
Boxer X 150,2023,6599000.0,Antonio Nariño , Bogotá D.C.
Bajaj Pulsar  Ns 200 Fi Abs Nueva,2024,13399000.0,Medellín , Antioquia
Pulsar Ns 160 Fi Abs,2023,10074000.0,Antonio Nariño , Bogotá D.C.
Baja Pulsar Ns 160  ,2023,9624000.0,Engativa , Bogotá D.C.
Pulsar Ns 160 Fi,2024,9999000.0,Engativa , Bogotá D.C.
Pulsar Ns 200 Fi,2023,11324000.0,Bogota , Cundinamarca
Suzuki Gixxer Fi 150 Abs Modelo 2023 ,2023,11147000.0,Barrios Unidos , Bogotá D.C.
Ns 160 Fi,2023,9624000.0,Engativa , Bogotá D.C.
 Pulsar Ns 200 Fi Bajaj ,2023,11899000.0,Cali , Valle Del Cauca
Pulsar Ns 160 Fi Bajaj Abs,2023,10074000.0,Engativa , Bogotá D.C.
Pulsar 160 Fi 2023 Bogotá,2022,9624000.0,Engativa , Bogotá D.C.
Pulsar Ns 160 Fi 2023,2023,9624000.0,Engativa , Bogotá D.C.
Discover 125 2023 Pro ,2022,7599000.0,Teusaquillo , Bogotá D.C.
Pulsar Ns 200 Fi Abs 2023,2022,13324000.0,Teusaquillo , Bogotá D.C.
Xtz125 Yamaha Modelo 2023,2023,10500000.0,Engativa , Bogotá D.C.
R15 Yamaha Modelo 2023,2023,15450000.0,Engativa , Bogotá D.C.
Pulsar Ns 200 Fi Cali ,2024,11899000.0,Cali , Valle Del Cauca
Moto Ktm 390 Duke Ng Nueva Bucaramanga,2023,31990000.0,Bucaramanga , Santander
Bajaj Dominar D400,2023,17574000.0,Cali , Valle Del Cauca
Bajaj Discover Str 125 Sport,2024,7750000.0,Cali , Valle Del Cauca
Brp Can Am Maverick Sport 1000,2023,165990000.0,Chapinero , Bogotá D.C.
Bajaj Pulsarmania 200fi Abs ,2023,13324000.0,Bello , Antioquia
Bajaj Boxer 150x 2024 La Dorada,2023,6899000.0,La Dorada , Caldas
Bajaj Motocarro Maxima Cargo 2023 La Dorada,2023,18490000.0,La Dorada , Caldas
Bajaj Pulsar Ns 160 Fi 2024 Pereira,2023,9999000.0,Pereira , Risaralda
Bajaj Dominar 250 2024 Pereira,2023,14999000.0,Pereira , Risaralda
Bajaj Pulsar Ns 200 Fi 2024 La Dorada,2023,11899000.0,La Dorada , Caldas
"Honda , Dio 110, Modelo 2023",2023,7300000.0,Barrios Unidos , Bogotá D.C.
Pulsar 180,2023,9274000.0,Barrios Unidos , Bogotá D.C.
Dominar 250 Touring,2023,14774000.0,Barrios Unidos , Bogotá D.C.
Honda Pcx 160 Abs 2024 Venecia,2024,17550000.0,Tunjuelito , Bogotá D.C.
Suzuki Dr 150 ,2023,11130000.0,Barrios Unidos , Bogotá D.C.
Suzuki Gn 125 F Modelo 2023 ,2023,6628000.0,Barrios Unidos , Bogotá D.C.
Honda Xr150l 2024 Popayán ,2023,11130000.0,Popayán , Cauca
Honda Xr150l 2024 Huila ,2023,11130000.0,Neiva , Huila
Honda Xr150l 2024 Cedritos,2023,11130000.0,Usaquén , Bogotá D.C.
Honda Xr150l 2024 Venecia,2023,11130000.0,Tunjuelito , Bogotá D.C.
Honda Xr150l 2024 Tolima ,2023,11130000.0,Ibagué , Tolima
Honda Xr150l 2024 Bucaramanga ,2023,11130000.0,Bucaramanga , Santander
Dominar 400 Touring,2024,18149000.0,Antonio Nariño , Bogotá D.C.
Pulsar 125 ,2023,7674000.0,Antonio Nariño , Bogotá D.C.
Pulsar Ns 160 Fi A Credito Bogota ,2024,9999000.0,Antonio Nariño , Bogotá D.C.
Pulsar Ns 160 2023,2023,9624000.0,Engativa , Bogotá D.C.
Pulsar Ns 125 Modelo 2023 ,2023,7399000.0,Ciudad Bolívar , Bogotá D.C.
